"","parameter","2.5%","25%","50%","75%","97.5%"
"1","b0",2.71266218602291,2.72643633518155,2.73373139792058,2.74082117815286,2.75470409614904
"2","b",0.298546357977007,0.320675723122738,0.333343617795249,0.346155399439223,0.371985310983464
"3","wA[1]",0.282897688348726,0.353938068457405,0.391022822179893,0.428534107583464,0.50139912790852
"4","wA[2]",0.233509722530744,0.325010034205239,0.372334426017502,0.417869102477577,0.50607411740069
"5","wA[3]",0.0016822867527622,0.0188331207016193,0.0410819800899727,0.0701829549621059,0.137001518820335
"6","wA[4]",0.00162257588461002,0.0158899148841374,0.0336943779163379,0.0568741089665911,0.108729524581485
"7","wA[5]",0.000728249007019477,0.00802629497154628,0.0183861765506467,0.0342426030966534,0.0762336332128773
"8","wA[6]",0.000706024220459703,0.00770432983740994,0.0177847656987728,0.0326907491581973,0.0684137124293331
"9","wA[7]",0.000633051239177737,0.00706650203841357,0.0165074700303147,0.030552452514814,0.0660592630279971
"10","wA[8]",0.000362288800673426,0.00385605791163697,0.00909790276389139,0.0177180481421491,0.0439384366226166
"11","wA[9]",0.000309275018153457,0.00337747242531632,0.00789002560047068,0.015332520059565,0.0374719748215045
"12","wA[10]",0.00035043009731202,0.00405400984909151,0.00975484351745383,0.0188920653788938,0.0453529111606142
"13","wA[11]",0.000304340838913207,0.00330532818658819,0.00781796321375325,0.0155311523770589,0.0375169615280902
"14","wA[12]",0.000309649659268054,0.00395693969806459,0.00929291261001794,0.0180583130730314,0.0440821804066089
"15","wA[13]",0.000684417847879572,0.00708238731151899,0.0165085816893735,0.0316378426494739,0.0711597769897721
